"Comuna","Alcalde Electo","Género","Votación Alcalde"
"La Florida","Rodolfo Rafael Carter Fernandez","Masculino","90,303"
"Maipú","Tomas Vodanovic Escudero","Masculino","90,186"
"Puente Alto","German Codina Powers","Masculino","87,239"
"Las Condes","Daniela Peñaloza Ramos","Femenino","58,603"
"Providencia","Evelyn Rose Matthei Fornet","Femenino","46,890"
"Santiago","Iraci Luiza Hassler Jacob","Femenino","45,376"
"Renca","Claudio Nicolas Castro Salas","Masculino","43,966"
"Lo Barnechea","Juan Cristobal Lira Ibañez","Masculino","38,685"
"Recoleta","Oscar Daniel Jadue Jadue","Masculino","35,305"
"Ñuñoa","Cristina Emilia Rios Saavedra","Femenino","34,664"
"Cerro Navia","Mauro Elias Tamayo Rozas","Masculino","33,480"
"Vitacura","Camila Merino Catalan","Femenino","31,646"
"La Reina","Jose Manuel Augusto Palacios Parra","Masculino","29,323"
"Peñalolén","Carolina Leitao Alvarez-Salamanca","Femenino","28,357"
"Macul","Gonzalo Eugenio Montoya Riquelme","Masculino","28,106"
"Estación Central","Felipe Muñoz Vallejos","Masculino","27,723"
"San Bernardo","Christopher Antonio White Bahamondes","Masculino","27,080"
"Lo Prado","Maximiliano Rios Galleguillos","Masculino","21,643"
"La Pintana","Claudia Gerlene Pizarro Peña","Femenino","21,061"
"Huechuraba","Carlos Cesar Luis Cuadrado Prats","Masculino","20,724"
"Pudahuel","Italo Andres Bravo Lizana","Masculino","19,742"
"La Granja","Luis Felipe Delpin Aguilar","Masculino","19,595"
"San Joaquín","Cristobal Amaro Labra Bassa","Masculino","19,371"
"Peñaflor","Nibaldo Favio Meza Garfia","Masculino","18,600"
"Talagante","Carlos Daniel Alvarez Esteban","Masculino","18,196"
"Quinta Normal","Karina Andrea Delfino Mussa","Femenino","17,546"
"Independencia","Gonzalo Duran Baronti","Masculino","16,697"
"El Bosque","Manuel Francisco Zuñiga Aguilar","Masculino","16,444"
"Buin","Miguel Leonardo Araya Lobos","Masculino","14,255"
"Quilicura","Paulina Rebeca Bobadilla Navarrete","Femenino","13,955"
"Conchalí","Rene Arturo De la Vega Fuentes","Masculino","13,789"
"Pedro Aguirre Cerda","Luis Alberto Astudillo Peiretti","Masculino","13,706"
"San Miguel","Erika Paulina Martinez Osorio","Femenino","11,766"
"Colina","Isabel Margarita Valenzuela Ahumada","Femenino","11,312"
"Melipilla","Lorena Catalina Olavarria Baeza","Femenino","10,079"
"La Cisterna","Joel Andres Olmos Espinoza","Masculino","9,987"
"Lampa","Jonathan Enrique Opazo Carrasco","Masculino","9,712"
"Cerrillos","Lorena Leonor Facuse Rojas","Femenino","9,085"
"Padre Hurtado","Felipe Luis Muñoz Heredia","Masculino","8,777"
"Lo Espejo","Javiera Paz Reyes Jara","Femenino","8,531"
"San Ramón","Gustavo Eduardo Toro Quintana","Masculino","8,305"
"Paine","Rodrigo Alexander Contreras Gutierrez","Masculino","6,182"
"Curacaví","Juan Pablo Barros Basso","Masculino","5,444"
"Isla de Maipo","Juan Pablo Olave Cambara","Masculino","5,167"
"Calera de Tango","Hortensia Maricel Mora Catalan","Femenino","4,864"
"El Monte","Francisco Javier Gomez Ramirez","Masculino","4,834"
"Pirque","Jaime Francisco Escudero Ramos","Masculino","4,662"
"San José de Maipo","Roberto Ulises Perez Catalan","Masculino","3,940"
"Alhué","Roberto Eduardo Torres Huerta","Masculino","2,635"
"María Pinto","Jessica Paola del Carmen Mualim Fajuri","Femenino","2,529"
"Tiltil","Luis Andres Valenzuela Cruzat","Masculino","2,460"
"San Pedro","Emilio Marcelo Cerda Sagurie","Masculino","2,270"
