Comuna;18-19;20-29;30-39;40-49;50-59;60-69;70-79;80+;AÑO
La Cisterna;506;3136;3505;3112;3443;2998;1675;555;2021
Talagante;444;2896;2809;2617;3022;2070;972;286;2021
San Joaquín;465;3079;3199;2859;3560;2872;1658;514;2021
Paine;334;2247;2302;2116;2421;1718;748;156;2021
Lampa;555;2854;3543;3330;2548;1572;673;134;2021
Padre Hurtado;405;2355;2619;2265;2214;1527;744;189;2021
El Monte;209;1303;1509;1340;1471;1055;564;135;2021
Curacaví;202;1314;1328;1306;1468;1112;576;173;2021
Calera de Tango;205;1206;1135;1161;1298;855;352;101;2021
Isla de Maipo;222;1381;1412;1399;1433;1022;461;103;2021
Pirque;216;1195;1229;1140;1298;882;380;118;2021
San José de Maipo;130;719;792;866;854;707;365;129;2021
Titil;113;696;725;670;756;524;227;74;2021
Maria Pinto;82;525;580;555;624;479;176;60;2021
San Pedro;74;320;416;392;400;339;194;60;2021
Alhue;38;308;384;314;356;247;134;52;2021
